,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_1_unbalanced,mu_2_unbalanced,mu_balanced,std,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
41,0.0,0.0,0.0,0.0,0.9996585743636351,1.0,0.9993185460196289,244.73333333333332,0.9959112761177733,0.49982928718181757,0.5,0.49965927300981444,244.73333333333332,Weighted Mean - 5x5 Conv Entropy,1.0,1.0,1.0,244.72,0.75,0.5,0.6,0.01,2,0.9996585743636351,1.0,0.9993185460196289,244.73333333333332
42,0.0,0.0,0.0,0.0,0.9994463945835118,1.0,0.9988962123090765,244.73333333333332,0.9944810615453826,0.4997231972917559,0.5,0.4994481061545383,244.73333333333332,Weighted Mean - Mean Entropy,1.0,1.0,1.0,245.625,0.75,0.5,0.6,0.01,2,0.9994463945835118,1.0,0.9988962123090765,244.73333333333332
43,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.73333333333332,,0.5,0.5,0.5,244.73333333333332,Weighted Mean - Pixelwise Entropy,1.0,1.0,1.0,244.73333333333332,0.75,0.5,0.6,0.01,2,1.0,1.0,1.0,244.73333333333332
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Majority Voting,,,,,0.9,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
45,0.0,0.0,0.0,0.0,0.5022685170859443,1.0,0.33569230769230773,325.0,0.33569230769230773,0.25113425854297217,0.5,0.16784615384615387,325.0,Maximum Proposal,,,,,0.9,0.4,0.6,0.01,2,0.5022685170859443,1.0,0.33569230769230773,325.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Mean Proposal,,,,,0.9,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - 3x3 Conv Entropy,,,,,0.9,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - 5x5 Conv Entropy,,,,,0.9,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - Mean Entropy,,,,,0.9,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - Pixelwise Entropy,,,,,0.9,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Weighted Mean - 3x3 Conv Entropy,,,,,0.9,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Weighted Mean - 5x5 Conv Entropy,,,,,0.9,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Weighted Mean - Mean Entropy,,,,,0.9,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
54,0.0,0.0,0.0,0.0,0.00611997166574919,0.6333333333333333,0.003076923076923076,325.0,0.003076923076923076,0.003059985832874595,0.31666666666666665,0.001538461538461538,325.0,Weighted Mean - Pixelwise Entropy,,,,,0.9,0.4,0.6,0.01,2,0.00611997166574919,0.6333333333333333,0.003076923076923076,325.0
55,0.0,0.0,0.0,0.0,0.799958689095679,1.0,0.6669984617609334,244.93333333333334,0.6669984617609334,0.3999793445478395,0.5,0.3334992308804667,244.93333333333334,Majority Voting,,,,,0.9,0.5,0.6,0.01,2,0.799958689095679,1.0,0.6669984617609334,244.93333333333334
56,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.93333333333334,,0.5,0.5,0.5,244.93333333333334,Maximum Proposal,1.0,1.0,1.0,244.93333333333334,0.9,0.5,0.6,0.01,2,1.0,1.0,1.0,244.93333333333334
57,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.93333333333334,,0.5,0.5,0.5,244.93333333333334,Mean Proposal,1.0,1.0,1.0,244.93333333333334,0.9,0.5,0.6,0.01,2,1.0,1.0,1.0,244.93333333333334
58,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.93333333333334,,0.5,0.5,0.5,244.93333333333334,Negotiation - 3x3 Conv Entropy,1.0,1.0,1.0,244.93333333333334,0.9,0.5,0.6,0.01,2,1.0,1.0,1.0,244.93333333333334
59,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.93333333333334,,0.5,0.5,0.5,244.93333333333334,Negotiation - 5x5 Conv Entropy,1.0,1.0,1.0,244.93333333333334,0.9,0.5,0.6,0.01,2,1.0,1.0,1.0,244.93333333333334
60,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.93333333333334,,0.5,0.5,0.5,244.93333333333334,Negotiation - Mean Entropy,1.0,1.0,1.0,244.93333333333334,0.9,0.5,0.6,0.01,2,1.0,1.0,1.0,244.93333333333334
61,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.93333333333334,,0.5,0.5,0.5,244.93333333333334,Negotiation - Pixelwise Entropy,1.0,1.0,1.0,244.93333333333334,0.9,0.5,0.6,0.01,2,1.0,1.0,1.0,244.93333333333334
62,0.0,0.0,0.0,0.0,0.977747848562394,1.0,0.9565324652337714,244.93333333333334,0.9565324652337714,0.488873924281197,0.5,0.4782662326168857,244.93333333333334,Weighted Mean - 3x3 Conv Entropy,,,,,0.9,0.5,0.6,0.01,2,0.977747848562394,1.0,0.9565324652337714,244.93333333333334
