,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,method,unbalanced_agents,mu_balanced,mu_1_unbalanced,mu_2_unbalanced,std
64,1.0,1.0,1.0,150.4,1.0,1.0,1.0,165.66666666666666,1.0,1.0,1.0,1.0,316.06666666666666,1.0,1.0,1.0,316.06666666666666,Weighted Mean - Mean Entropy,2,0.6,0.9,0.5,0.01
65,1.0,1.0,1.0,150.4,1.0,1.0,1.0,165.66666666666666,1.0,1.0,1.0,1.0,316.06666666666666,1.0,1.0,1.0,316.06666666666666,Weighted Mean - Pixelwise Entropy,2,0.6,0.9,0.5,0.01
66,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Majority Voting,2,0.75,0.6,0.4,0.01
67,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Maximum Proposal,2,0.75,0.6,0.4,0.01
68,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Mean Proposal,2,0.75,0.6,0.4,0.01
69,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.75,0.6,0.4,0.01
70,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.75,0.6,0.4,0.01
71,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Mean Entropy,2,0.75,0.6,0.4,0.01
72,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy,2,0.75,0.6,0.4,0.01
73,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.75,0.6,0.4,0.01
74,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.75,0.6,0.4,0.01
75,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Mean Entropy,2,0.75,0.6,0.4,0.01
76,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Pixelwise Entropy,2,0.75,0.6,0.4,0.01
77,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,164.06666666666666,1.0,1.0,1.0,1.0,314.73333333333335,1.0,1.0,1.0,314.73333333333335,Majority Voting,2,0.75,0.6,0.5,0.01
78,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,164.06666666666666,1.0,1.0,1.0,1.0,314.73333333333335,1.0,1.0,1.0,314.73333333333335,Maximum Proposal,2,0.75,0.6,0.5,0.01
79,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,164.06666666666666,1.0,1.0,1.0,1.0,314.73333333333335,1.0,1.0,1.0,314.73333333333335,Mean Proposal,2,0.75,0.6,0.5,0.01
80,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,164.06666666666666,1.0,1.0,1.0,1.0,314.73333333333335,1.0,1.0,1.0,314.73333333333335,Negotiation - 3x3 Conv Entropy,2,0.75,0.6,0.5,0.01
81,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,164.06666666666666,1.0,1.0,1.0,1.0,314.73333333333335,1.0,1.0,1.0,314.73333333333335,Negotiation - 5x5 Conv Entropy,2,0.75,0.6,0.5,0.01
82,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,164.06666666666666,1.0,1.0,1.0,1.0,314.73333333333335,1.0,1.0,1.0,314.73333333333335,Negotiation - Mean Entropy,2,0.75,0.6,0.5,0.01
83,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,164.06666666666666,1.0,1.0,1.0,1.0,314.73333333333335,1.0,1.0,1.0,314.73333333333335,Negotiation - Pixelwise Entropy,2,0.75,0.6,0.5,0.01
84,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,164.06666666666666,1.0,1.0,1.0,1.0,314.73333333333335,1.0,1.0,1.0,314.73333333333335,Weighted Mean - 3x3 Conv Entropy,2,0.75,0.6,0.5,0.01
85,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,164.06666666666666,1.0,1.0,1.0,1.0,314.73333333333335,1.0,1.0,1.0,314.73333333333335,Weighted Mean - 5x5 Conv Entropy,2,0.75,0.6,0.5,0.01
86,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,164.06666666666666,1.0,1.0,1.0,1.0,314.73333333333335,1.0,1.0,1.0,314.73333333333335,Weighted Mean - Mean Entropy,2,0.75,0.6,0.5,0.01
87,1.0,1.0,1.0,150.66666666666666,1.0,1.0,1.0,164.06666666666666,1.0,1.0,1.0,1.0,314.73333333333335,1.0,1.0,1.0,314.73333333333335,Weighted Mean - Pixelwise Entropy,2,0.75,0.6,0.5,0.01
88,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Majority Voting,2,0.75,0.75,0.4,0.01
89,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Maximum Proposal,2,0.75,0.75,0.4,0.01
90,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Mean Proposal,2,0.75,0.75,0.4,0.01
91,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.75,0.75,0.4,0.01
92,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.75,0.75,0.4,0.01
93,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Mean Entropy,2,0.75,0.75,0.4,0.01
94,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy,2,0.75,0.75,0.4,0.01
95,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.75,0.75,0.4,0.01
96,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.75,0.75,0.4,0.01
97,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Mean Entropy,2,0.75,0.75,0.4,0.01
