,accuracy,bird_f1-score,bird_precision,bird_recall,bird_support,cat_f1-score,cat_precision,cat_recall,cat_support,dog_f1-score,dog_precision,dog_recall,dog_support,horse_f1-score,horse_precision,horse_recall,horse_support,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,other_f1-score,other_precision,other_recall,other_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,method,a,b,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support
254,,0.03683819750815022,1.0,0.0188148148148148,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073676395016300435,0.2000000000000001,0.0037629629629629627,225.0,0.0,0.0,0.0,0.0,0.03683819750815022,1.0,0.0188148148148148,225.0,Mean Proposal,0.3778,0.4667,0.018814814814814805,0.0188148148148148,0.0188148148148148,225.0
255,0.0981196581196581,0.2004328976856067,1.0,0.11185185185185187,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040086579537121345,0.2000000000000001,0.022370370370370374,225.0,0.0,0.0,0.0,0.0,0.2004328976856067,1.0,0.11185185185185187,225.0,Maximum Proposal,0.3778,0.4667,0.1223529411764706,0.1223529411764706,0.1223529411764706,225.0
256,0.06333333333333334,0.12171156747714922,1.0,0.06503703703703703,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02434231349542985,0.2000000000000001,0.013007407407407409,225.0,0.0,0.0,0.0,0.0,0.12171156747714922,1.0,0.06503703703703703,225.0,Weighted Mean - Pixelwise Entropy,0.3778,0.4667,0.06617283950617284,0.06617283950617284,0.06617283950617284,225.0
257,,0.032190986015447634,0.9666666666666667,0.01644444444444444,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006438197203089527,0.1933333333333334,0.0032888888888888894,225.0,0.0,0.0,0.0,0.0,0.032190986015447634,0.9666666666666667,0.01644444444444444,225.0,Weighted Mean - Mean Entropy,0.3778,0.4667,0.016444444444444442,0.01644444444444444,0.01644444444444444,225.0
258,0.017777777777777778,0.02559832280343612,1.0,0.013037037037037033,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051196645606872235,0.2000000000000001,0.0026074074074074072,225.0,0.0,0.0,0.0,0.0,0.02559832280343612,1.0,0.013037037037037033,225.0,Weighted Mean - 3x3 Conv Entropy,0.3778,0.4667,0.012873563218390803,0.012873563218390801,0.012873563218390801,225.0
259,0.013333333333333334,0.021584747292184035,0.9,0.010962962962962959,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004316949458436806,0.18000000000000008,0.0021925925925925928,225.0,0.0,0.0,0.0,0.0,0.021584747292184035,0.9,0.010962962962962959,225.0,Weighted Mean - 5x5 Conv Entropy,0.3778,0.4667,0.010699588477366254,0.010699588477366254,0.010699588477366254,225.0
260,0.035555555555555556,0.058458996983640876,1.0,0.030222222222222216,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011691799396728174,0.2000000000000001,0.006044444444444446,225.0,0.0,0.0,0.0,0.0,0.058458996983640876,1.0,0.030222222222222216,225.0,Negotiation - Pixelwise Entropy,0.3778,0.4667,0.030038314176245213,0.030038314176245206,0.030038314176245206,225.0
261,0.013333333333333334,0.025920239632407496,1.0,0.013185185185185182,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005184047926481498,0.2000000000000001,0.0026370370370370376,225.0,0.0,0.0,0.0,0.0,0.025920239632407496,1.0,0.013185185185185182,225.0,Negotiation - Mean Entropy,0.3778,0.4667,0.01318007662835249,0.013180076628352487,0.013180076628352487,225.0
262,,0.029917584109449495,0.9666666666666667,0.015259259259259255,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005983516821889898,0.1933333333333334,0.003051851851851853,225.0,0.0,0.0,0.0,0.0,0.029917584109449495,0.9666666666666667,0.015259259259259255,225.0,Negotiation - 3x3 Conv Entropy,0.3778,0.4667,0.015259259259259259,0.015259259259259255,0.015259259259259255,225.0
263,,0.027351689994787712,0.9333333333333333,0.013925925925925921,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054703379989575395,0.18666666666666673,0.002785185185185185,225.0,0.0,0.0,0.0,0.0,0.027351689994787712,0.9333333333333333,0.013925925925925921,225.0,Negotiation - 5x5 Conv Entropy,0.3778,0.4667,0.013925925925925923,0.013925925925925921,0.013925925925925921,225.0
264,,0.0114321630716315,0.7333333333333333,0.005777777777777778,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002286432614326299,0.1466666666666667,0.0011555555555555562,225.0,0.0,0.0,0.0,0.0,0.0114321630716315,0.7333333333333333,0.005777777777777778,225.0,Majority Voting,0.3778,0.5556,0.005777777777777779,0.005777777777777778,0.005777777777777778,225.0
265,,0.0017699115044247787,0.2,0.0008888888888888889,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035398230088495576,0.04,0.00017777777777777776,225.0,0.0,0.0,0.0,0.0,0.0017699115044247787,0.2,0.0008888888888888889,225.0,Mean Proposal,0.3778,0.5556,0.0008888888888888889,0.0008888888888888889,0.0008888888888888889,225.0
266,,0.08643555120259082,1.0,0.04533333333333333,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017287110240518162,0.2000000000000001,0.009066666666666664,225.0,0.0,0.0,0.0,0.0,0.08643555120259082,1.0,0.04533333333333333,225.0,Maximum Proposal,0.3778,0.5556,0.04533333333333334,0.04533333333333333,0.04533333333333333,225.0
267,,0.03159806011668827,1.0,0.016148148148148144,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006319612023337654,0.2000000000000001,0.0032296296296296296,225.0,0.0,0.0,0.0,0.0,0.03159806011668827,1.0,0.016148148148148144,225.0,Weighted Mean - Pixelwise Entropy,0.3778,0.5556,0.016148148148148144,0.016148148148148144,0.016148148148148144,225.0
268,,0.0005899705014749262,0.06666666666666667,0.0002962962962962963,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011799410029498524,0.013333333333333334,5.925925925925926e-05,225.0,0.0,0.0,0.0,0.0,0.0005899705014749262,0.06666666666666667,0.0002962962962962963,225.0,Weighted Mean - Mean Entropy,0.3778,0.5556,0.0002962962962962963,0.0002962962962962963,0.0002962962962962963,225.0
269,,0.0008849557522123894,0.1,0.0004444444444444444,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017699115044247788,0.020000000000000004,8.88888888888889e-05,225.0,0.0,0.0,0.0,0.0,0.0008849557522123894,0.1,0.0004444444444444444,225.0,Weighted Mean - 3x3 Conv Entropy,0.3778,0.5556,0.0004444444444444444,0.0004444444444444444,0.0004444444444444444,225.0
270,,0.0008849557522123894,0.1,0.0004444444444444444,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017699115044247788,0.020000000000000004,8.88888888888889e-05,225.0,0.0,0.0,0.0,0.0,0.0008849557522123894,0.1,0.0004444444444444444,225.0,Weighted Mean - 5x5 Conv Entropy,0.3778,0.5556,0.0004444444444444444,0.0004444444444444444,0.0004444444444444444,225.0
271,,0.019878593644949406,0.9,0.010074074074074072,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003975718728989881,0.18000000000000008,0.002014814814814815,225.0,0.0,0.0,0.0,0.0,0.019878593644949406,0.9,0.010074074074074072,225.0,Negotiation - Pixelwise Entropy,0.3778,0.5556,0.010074074074074074,0.010074074074074072,0.010074074074074072,225.0
