,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,Label 2_f1-score,Label 2_precision,Label 2_recall,Label 2_support,Label 3_f1-score,Label 3_precision,Label 3_recall,Label 3_support,Label 4_f1-score,Label 4_precision,Label 4_recall,Label 4_support,accuracy,gamma_unbalanced,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_star_unbalanced,mu_unbalanced,non_consensus_px,std,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
24,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - 3x3 Conv Entropy (Weighted),,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
25,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - 5x5 Conv Entropy,,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
26,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - 5x5 Conv Entropy (Mean-Weighted),,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
27,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - 5x5 Conv Entropy (Weighted),,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
28,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - Mean Entropy,,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
29,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - Mean Entropy (Mean-Weighted),,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
30,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - Mean Entropy (Weighted),,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
31,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - Pixelwise Entropy,,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
32,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - Pixelwise Entropy (Mean-Weighted),,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
33,1.0,1.0,1.0,364.8333333333333,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.46666666666667,1.0,1.0,1.0,63.3,1.0,1.0,1.0,63.333333333333336,1.0,0.6,1.0,1.0,1.0,618.2333333333333,Negotiation - Pixelwise Entropy (Weighted),,,,,0.2000002,0.5,618.2333333333333,0.01,1,1.0,1.0,1.0,618.2333333333333
