,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,non_consensus_px,method,unbalanced_agents,mu_balanced,mu_1_unbalanced,mu_2_unbalanced,std
58,1.0,1.0,1.0,201.66666666666666,1.0,1.0,1.0,114.6,1.0,1.0,1.0,1.0,316.26666666666665,1.0,1.0,1.0,316.26666666666665,316.26666666666665,Negotiation - 3x3 Conv Entropy,2,0.6,0.9,0.5,0.01
59,1.0,1.0,1.0,201.66666666666666,1.0,1.0,1.0,114.6,1.0,1.0,1.0,1.0,316.26666666666665,1.0,1.0,1.0,316.26666666666665,316.26666666666665,Negotiation - 5x5 Conv Entropy,2,0.6,0.9,0.5,0.01
60,1.0,1.0,1.0,201.66666666666666,1.0,1.0,1.0,114.6,1.0,1.0,1.0,1.0,316.26666666666665,1.0,1.0,1.0,316.26666666666665,316.26666666666665,Negotiation - Mean Entropy,2,0.6,0.9,0.5,0.01
61,1.0,1.0,1.0,201.66666666666666,1.0,1.0,1.0,114.6,1.0,1.0,1.0,1.0,316.26666666666665,1.0,1.0,1.0,316.26666666666665,316.26666666666665,Negotiation - Pixelwise Entropy,2,0.6,0.9,0.5,0.01
62,1.0,1.0,1.0,201.66666666666666,1.0,1.0,1.0,114.6,1.0,1.0,1.0,1.0,316.26666666666665,1.0,1.0,1.0,316.26666666666665,316.26666666666665,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.9,0.5,0.01
63,1.0,1.0,1.0,201.66666666666666,1.0,1.0,1.0,114.6,1.0,1.0,1.0,1.0,316.26666666666665,1.0,1.0,1.0,316.26666666666665,316.26666666666665,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.9,0.5,0.01
64,1.0,1.0,1.0,201.66666666666666,1.0,1.0,1.0,114.6,1.0,1.0,1.0,1.0,316.26666666666665,1.0,1.0,1.0,316.26666666666665,316.26666666666665,Weighted Mean - Mean Entropy,2,0.6,0.9,0.5,0.01
65,1.0,1.0,1.0,201.66666666666666,1.0,1.0,1.0,114.6,1.0,1.0,1.0,1.0,316.26666666666665,1.0,1.0,1.0,316.26666666666665,316.26666666666665,Weighted Mean - Pixelwise Entropy,2,0.6,0.9,0.5,0.01
66,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Majority Voting,2,0.75,0.6,0.4,0.01
67,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Maximum Proposal,2,0.75,0.6,0.4,0.01
68,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Mean Proposal,2,0.75,0.6,0.4,0.01
69,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.75,0.6,0.4,0.01
70,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.75,0.6,0.4,0.01
71,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Mean Entropy,2,0.75,0.6,0.4,0.01
72,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Pixelwise Entropy,2,0.75,0.6,0.4,0.01
