,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,non_consensus_px,method,unbalanced_agents,mu_balanced,mu_1_unbalanced,mu_2_unbalanced,std
1597,0.989262026981015,0.9891242792049214,0.9894411307216114,287.2,0.9900693714264988,0.9902647414057805,0.9899094372465024,310.6,0.9896820389975114,0.9896656992037568,0.9896945103053507,0.9896752839840567,597.8,0.9896818814434977,0.9897200027025991,0.9896820389975114,597.8,597.8,Mean Proposal,8,0.6,0.6,0.5,0.1
1598,0.989495961276184,0.989358673663652,0.9896750546690545,287.2,0.9902855637160769,0.9904804956714358,0.9901263428528119,310.6,0.9899067288192611,0.9898907624961304,0.9899195846675436,0.989900698760933,597.8,0.9899065896325276,0.9899450851166823,0.9899067288192611,597.8,597.8,Negotiation - 3x3 Conv Entropy,8,0.6,0.6,0.5,0.1
1599,0.9895493433554297,0.9896940774676,0.9894431613598816,287.2,0.9903435784868837,0.9902713175700312,0.9904485822065264,310.6,0.989962666086781,0.9899464609211566,0.9899826975188154,0.9899458717832039,597.8,0.9899624069202716,0.9899976779885573,0.989962666086781,597.8,597.8,Negotiation - 5x5 Conv Entropy,8,0.6,0.6,0.5,0.1
1600,0.9893777421947143,0.9893577620675299,0.9894411307216114,287.2,0.9901787065255138,0.990268534349932,0.9901259993235295,310.6,0.9897944821715186,0.989778224360114,0.9898131482087308,0.9897835650225704,597.8,0.989794271351641,0.9898341998332328,0.9897944821715186,597.8,597.8,Negotiation - Mean Entropy,8,0.6,0.6,0.5,0.1
1601,0.9885101892496043,0.9881995759338086,0.9888604214756871,287.2,0.9893664898737374,0.989718206142672,0.9890487530560864,310.6,0.988955503087244,0.9889383395616709,0.9889588910382402,0.9889545872658868,597.8,0.9889554950856458,0.9889921739810336,0.988955503087244,597.8,597.8,Negotiation - Pixelwise Entropy,8,0.6,0.6,0.5,0.1
1602,0.9912955614983254,0.9908722336738993,0.9917546149921643,287.2,0.9919452514401269,0.9923965536832556,0.991524796379817,310.6,0.9916334449943185,0.9916204064692261,0.9916343936785774,0.9916397056859907,597.8,0.9916336076379053,0.9916669587125002,0.9916334449943185,597.8,597.8,Weighted Mean - 3x3 Conv Entropy,8,0.6,0.6,0.5,0.1
1603,0.9916364351095075,0.9910910232998449,0.9922090925586325,287.2,0.9922611705667848,0.9928106104332381,0.9917349018571938,310.6,0.9919613649960433,0.9919488028381462,0.9919508168665413,0.9919719972079132,597.8,0.991961360441553,0.9919864779670795,0.9919613649960433,597.8,597.8,Weighted Mean - 5x5 Conv Entropy,8,0.6,0.6,0.5,0.1
1604,0.9906986297204389,0.9921155995922156,0.9893247298234441,287.2,0.9914274895507778,0.9901933133197157,0.9926969394158304,310.6,0.991078580226674,0.9910630596356084,0.9911544564559658,0.991010834619637,597.8,0.9910776862312617,0.9911157945915708,0.991078580226674,597.8,597.8,Weighted Mean - Mean Entropy,8,0.6,0.6,0.5,0.1
1605,0.9678005643435692,0.9677680971418267,0.9679485061678097,287.2,0.9702542472032967,0.9704873473965853,0.9701204259238134,310.6,0.9690797153678168,0.969027405773433,0.9691277222692061,0.9690344660458118,597.8,0.9690768433334535,0.969181020633474,0.9690797153678168,597.8,597.8,Weighted Mean - Pixelwise Entropy,8,0.6,0.6,0.5,0.1
1606,0.9412588922410917,0.9373473125283858,0.945333333333333,300.0,0.945309281176099,0.9492258295362688,0.9415384615384617,325.0,0.9433600000000001,0.9432840867085954,0.9432865710323272,0.9434358974358975,625.0,0.9433650944872958,0.9435241413724847,0.9433600000000001,625.0,625.0,Majority Voting,8,0.6,0.75,0.4,0.1
