,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_1_unbalanced,mu_2_unbalanced,mu_balanced,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
347,0.06666666666666667,0.06666666666666667,0.06666666666666667,26.666666666666668,1.0,1.0,1.0,225.0,1.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,251.66666666666666,Negotiation - Pixelwise Entropy,1.0,1.0,1.0,225.0,0.6,0.5,0.9,4,1.0,1.0,1.0,251.66666666666666
348,0.06666666666666667,0.06666666666666667,0.06666666666666667,26.666666666666668,1.0,1.0,1.0,225.0,1.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,251.66666666666666,Weighted Mean - 3x3 Conv Entropy,1.0,1.0,1.0,225.0,0.6,0.5,0.9,4,1.0,1.0,1.0,251.66666666666666
349,0.06666666666666667,0.06666666666666667,0.06666666666666667,26.666666666666668,1.0,1.0,1.0,225.0,1.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,251.66666666666666,Weighted Mean - 5x5 Conv Entropy,1.0,1.0,1.0,225.0,0.6,0.5,0.9,4,1.0,1.0,1.0,251.66666666666666
350,0.06666666666666667,0.06666666666666667,0.06666666666666667,26.666666666666668,1.0,1.0,1.0,225.0,1.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,251.66666666666666,Weighted Mean - Mean Entropy,1.0,1.0,1.0,225.0,0.6,0.5,0.9,4,1.0,1.0,1.0,251.66666666666666
351,0.06666666666666667,0.06666666666666667,0.06666666666666667,26.666666666666668,1.0,1.0,1.0,225.0,1.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,251.66666666666666,Weighted Mean - Pixelwise Entropy,1.0,1.0,1.0,225.0,0.6,0.5,0.9,4,1.0,1.0,1.0,251.66666666666666
352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Majority Voting,,,,,0.75,0.4,0.9,4,0.0,0.0,0.0,225.0
353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Maximum Proposal,,,,,0.75,0.4,0.9,4,0.0,0.0,0.0,225.0
354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Mean Proposal,,,,,0.75,0.4,0.9,4,0.0,0.0,0.0,225.0
355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Negotiation - 3x3 Conv Entropy,,,,,0.75,0.4,0.9,4,0.0,0.0,0.0,225.0
356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Negotiation - 5x5 Conv Entropy,,,,,0.75,0.4,0.9,4,0.0,0.0,0.0,225.0
357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Negotiation - Mean Entropy,,,,,0.75,0.4,0.9,4,0.0,0.0,0.0,225.0
358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Negotiation - Pixelwise Entropy,,,,,0.75,0.4,0.9,4,0.0,0.0,0.0,225.0
359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Weighted Mean - 3x3 Conv Entropy,,,,,0.75,0.4,0.9,4,0.0,0.0,0.0,225.0
360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,225.0,Weighted Mean - 5x5 Conv Entropy,,,,,0.75,0.4,0.9,4,0.0,0.0,0.0,225.0
